Movie,Total Gross,Genre,Rating
Then She Found Me,3735717,Romantic Comedy, R
There Will Be Blood,39795491,Drama, R
Traitor,23530831,Thriller/Suspense, PG-13
Transporter 3,31715062,Action, PG-13
Tropic Thunder,110515313,Comedy, R
Twilight,176922850,Drama, PG-13
U2 3D,9674438,Concert/Performance, G
Under the Same Moon,12590147,Drama, PG-13
Untraceable,28687835,Thriller/Suspense, R
Valkyrie,60691979,Thriller/Suspense, PG-13
Vantage Point,72266306,Thriller/Suspense, PG-13
Vicky Cristina Barcelona,22830692,Comedy, PG-13
W.,25534493,Drama, PG-13
Walk Hard: The Dewey Cox Story,4072431,Comedy, R
WALL-E,223806889,Comedy, G
Wanted,134508551,Action, R
Welcome Home Roscoe Jenkins,42436517,Comedy, PG-13
What Happens in Vegas...,80277646,Romantic Comedy, PG-13
Witless Protection,4151836,Comedy, PG-13
Yes Man,79507388,Comedy, PG-13
You Don't Mess With the Zohan,100018837,Comedy, PG-13
Young @ Heart,3992189,Documentary, PG
Zack and Miri Make a Porno,31300810,Comedy, R
