Movie,RottenTomatoesScore,ReleaseDate,CreativeType,DistributedBy,StorySource,Budget,BoxOfficeGross,OpeningWeekendGross,Genre,MPAA,RunTime,NumberScreensOpeningWeekend,GrossperScreenOpenWeekend,IMDB score,AcademyAwardNominations,GoogleHitsOfDirector,Rank
Step Up 2 the Streets,26,2/14/2008,Contemporary Fiction,Buena Vista,Sequel,NA,58017783,22125429,Drama,PG-13,98,2470,8958,5.5,0,74700,55
Stop-Loss,64,3/28/2008,Dramatization,Paramount,Real life events,25000000,10911750,4555117,Drama,R,112,1291,3528,6.6,0,89800,152
Strange Wilderness,0,2/1/2008,Contemporary Fiction,Paramount,Original Screenplay,NA,6563357,3001719,Comedy,R,87,1208,2485,5.1,1,132000,176
Street Kings,37,4/11/2008,Contemporary Fiction,Fox Searchlight,Original Screenplay,20000000,26415649,12469631,Thriller/Suspense,R,109,2467,5055,7,1,139000,107
Superhero Movie,15,3/28/2008,Superhero,MGM,Original Screenplay,35000000,25871834,9510297,Comedy,PG-13,75,2960,3213,4.3,0,71400,109
Sweeney Todd: The Demon Barber of Fleet Street,85,12/21/2007,Historical Fiction,Paramount Pictures,Based on Musical/Opera,50000000,52898073,13635390,Musical,R,116,1249,10917,7.8,4,1430000,117
Swing Vote,37,8/1/2008,Contemporary Fiction,Walt Disney,Original Screenplay,21000000,16284360,6230669,Comedy,PG-13,120,2213,2815,6.1,2,2760000,130
Tell No One,93,NA,NA,NA,NA,NA,6177192,169707,Thriller/Suspense,Not Rated,131,8,21213,7.6,2,423000,180
The Band's Visit,98,NA,NA,NA,NA,NA,3053823,NA,Comedy,PG-13,87,7,9542,7.7,0,54800,210
The Bank Job,79,3/7/2008,Dramatization,Lionsqate,Based on Real life Events,20000000,30028592,5935256,Thriller/Suspense,R,111,1603,3703,7.5,0,298000,101
The Boy in the Striped Pyjamas,65,11/7/2008,Historical Fiction,Miramax,Based on Book/Short Story,12500000,9030581,253085,Drama,PG-13,94,17,14887,7.8,0,155000,163
The Bucket List,42,12/25/2007,Contemporary Fiction,Warner Bros.,Original Screenplay,45000000,93452056,582534,Comedy,PG-13,97,16,36408,7.5,16,383000,29
